@relation Training-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute class {1,2,3,4,5}

@data
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.740724,0.025518,0.038006,0.194744,0.001008,41,0,40,0,1
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.557225,0.106228,0.045701,0.270409,0.020438,136,22,132,14,1
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.634507,0.059351,0.083408,0.210082,0.012653,33,0,32,2,1
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.108249,0.475385,0.042147,0.234426,0.139793,363,44,317,9,1
NEU,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.719697,0.014802,0.031186,0.222971,0.011344,200,11,198,7,1
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.785428,0.044777,0.034048,0.125649,0.010098,237,11,231,11,1
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.39714,0.109081,0.060386,0.336455,0.096937,42,11,40,0,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.251745,0.205228,0.217426,0.282954,0.042647,54,11,52,3,1
N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.788225,0.032275,0.031794,0.128947,0.01876,52,11,50,2,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.458059,0.044639,0.06978,0.389323,0.038198,65,0,63,0,1
N+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.558473,0.019413,0.019124,0.31085,0.09214,97,0,94,2,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.519464,0.055347,0.225363,0.177235,0.022591,194,22,188,1,1
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.612891,0.076622,0.16398,0.130426,0.01608,142,0,140,1,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.583142,0.01367,0.06031,0.248862,0.094017,109,0,107,0,1
N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.435261,0.02351,0.114543,0.396324,0.030362,74,0,72,0,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.678592,0.021003,0.065907,0.185424,0.049074,111,22,108,0,1
N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.601171,0.025698,0.104626,0.259063,0.009442,144,0,120,1,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.708951,0.015176,0.019377,0.242097,0.0144,64,11,59,1,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.416617,0.061305,0.087013,0.41498,0.020086,127,11,123,1,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.478718,0.053612,0.285175,0.180729,0.001766,76,0,75,2,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.557134,0.021238,0.031118,0.374268,0.016242,459,11,446,22,1
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.515251,0.088767,0.091598,0.289327,0.015057,32,0,31,1,1
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.695686,0.012217,0.061863,0.220394,0.00984,560,0,341,14,1
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.59545,0.023525,0.100579,0.262374,0.018072,37,0,36,2,1
N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.587309,0.008416,0.039642,0.357142,0.007491,169,22,161,8,1
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.278493,0.287897,0.094366,0.317996,0.021248,133,11,130,3,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.385398,0.040015,0.028342,0.522414,0.023831,58,11,56,0,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.218342,0.037427,0.106229,0.592037,0.045965,271,33,240,17,1
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.555283,0.029799,0.045143,0.3442,0.025574,88,22,81,7,1
NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.631325,0.020479,0.037938,0.292405,0.017853,72,11,70,0,1
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.782126,0.015966,0.023994,0.176365,0.001549,61,0,60,0,1
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.435379,0.059062,0.076255,0.406912,0.022393,289,11,264,3,1
P,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.610519,0.036401,0.049457,0.278855,0.024768,60,0,57,3,1
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.355651,0.079066,0.096624,0.400978,0.067682,66,11,59,2,1
