@relation TestingWordCounter-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,P+,N,NEU,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute word_number numeric
@attribute class {1,2,3,4,5}

@data
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.561179,0.054066,0.050339,0.284435,0.049981,59,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.220493,0.46582,0.034368,0.238846,0.040473,310,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.405362,0.113764,0.064542,0.395567,0.020765,89,?
NEU,AGREEMENT,SUBJECTIVE,79,IRONIC,0.24558,0.191055,0.047604,0.379843,0.135918,26,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.008566,0.233518,0.011287,0.030554,0.716076,63,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.062194,0.100908,0.012614,0.174496,0.649788,73,?
P+,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.197426,0.300315,0.091184,0.356481,0.054594,82,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.534783,0.081443,0.09083,0.234532,0.058413,28,?
P,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.607638,0.117717,0.098325,0.135307,0.041013,126,?
N+,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.097648,0.067664,0.508014,0.253277,0.073397,77,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.432942,0.229709,0.090619,0.204654,0.042076,147,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.518632,0.094513,0.041898,0.332042,0.012915,324,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.701735,0.020368,0.030115,0.207971,0.039811,26,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.234434,0.50269,0.044518,0.14114,0.077218,33,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.59999,0.096544,0.09794,0.153921,0.051604,35,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.065964,0.121551,0.014294,0.0555,0.742691,191,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.505852,0.114058,0.082821,0.260935,0.036334,290,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.56577,0.088269,0.031165,0.270529,0.044267,34,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.010796,0.754289,0.029067,0.070008,0.13584,125,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.158444,0.539059,0.072005,0.187594,0.042898,32,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.015532,0.064261,0.004814,0.023818,0.891574,92,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.439895,0.13209,0.080379,0.311232,0.036404,103,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.045675,0.235179,0.259837,0.075632,0.383677,321,?
P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.30741,0.186706,0.124525,0.348512,0.032848,67,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.065663,0.381415,0.228976,0.108583,0.215364,116,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.369389,0.026561,0.019008,0.533931,0.051111,125,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.336965,0.020021,0.045735,0.436282,0.160995,138,?
P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.264533,0.165959,0.392177,0.15626,0.021071,115,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.62359,0.020041,0.034854,0.302122,0.019393,36,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.541977,0.081861,0.026159,0.311134,0.03887,70,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.469418,0.103854,0.114675,0.263182,0.048871,73,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.048501,0.565103,0.100229,0.085138,0.201029,52,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.590507,0.05372,0.170185,0.174134,0.011454,120,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.398114,0.091288,0.119917,0.336381,0.0543,61,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.444258,0.238996,0.051475,0.167577,0.097694,35,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.030308,0.08353,0.009061,0.04248,0.83462,49,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.00276,0.334026,0.001809,0.014087,0.647317,63,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.514453,0.041529,0.072113,0.208987,0.162918,69,?
P,DISAGREEMENT,OBJECTIVE,83,NONIRONIC,0.349056,0.172264,0.157508,0.266639,0.054533,269,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.290454,0.102265,0.090262,0.500478,0.01654,45,?
P,AGREEMENT,SUBJECTIVE,87,IRONIC,0.151395,0.378266,0.051165,0.139569,0.279605,101,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.190458,0.150165,0.072943,0.127692,0.458743,238,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.084586,0.245805,0.054987,0.235109,0.379513,50,?
P+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.370171,0.248495,0.099472,0.268706,0.013157,98,?
P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.106447,0.104526,0.03151,0.094021,0.663497,116,?
N,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.182384,0.193365,0.026764,0.431437,0.166051,63,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.046063,0.603079,0.079909,0.125365,0.145584,103,?
P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.217346,0.157115,0.026037,0.098467,0.501034,71,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.20369,0.118749,0.07867,0.28741,0.311481,202,?
NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.38524,0.074851,0.086691,0.386348,0.06687,73,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.293619,0.263389,0.036112,0.228323,0.178557,357,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.047108,0.686011,0.045213,0.083152,0.138516,898,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.534567,0.068482,0.290548,0.075064,0.03134,94,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.017567,0.026886,0.012563,0.034894,0.908091,154,?
