@relation TestingWordCounter-weka.filters.unsupervised.attribute.Remove-R1

@attribute score_tag {NONE,P,P+,N,NEU,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute word_number numeric
@attribute class {1,2,3,4,5}

@data
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.59238,0.157421,0.067316,0.118391,0.064491,188,?
N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.157403,0.154956,0.181732,0.451254,0.054654,100,?
P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.243116,0.174632,0.05189,0.361861,0.168501,73,?
P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.014545,0.559903,0.022824,0.073432,0.329297,33,?
P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.341389,0.095201,0.082647,0.413945,0.066819,77,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.038616,0.558453,0.04129,0.106793,0.254848,308,?
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.071085,0.18341,0.135228,0.147502,0.462776,235,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.170898,0.589676,0.034695,0.138433,0.066298,291,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.204038,0.051372,0.047799,0.436264,0.260527,59,?
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.260253,0.253737,0.04211,0.347711,0.096189,58,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.54863,0.126946,0.073406,0.20401,0.047008,54,?
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.356178,0.179364,0.043813,0.237239,0.183406,60,?
P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.493942,0.113279,0.036779,0.288034,0.067966,92,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.087243,0.295739,0.061327,0.100062,0.455629,71,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.352786,0.059605,0.111798,0.366465,0.109347,92,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.160903,0.368966,0.160868,0.184015,0.125248,146,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499354,0.161447,0.063683,0.256982,0.018534,65,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.030264,0.454785,0.172827,0.117479,0.224644,106,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.102686,0.0422,0.749268,0.092208,0.013639,63,?
NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.505524,0.113349,0.05491,0.27642,0.049797,157,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.060282,0.137715,0.041353,0.128141,0.63251,91,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.248981,0.022759,0.068065,0.512155,0.14804,245,?
P+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.442123,0.136354,0.038587,0.261985,0.120951,99,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.331577,0.216312,0.113034,0.260517,0.07856,228,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.166147,0.034215,0.197914,0.540816,0.060908,488,?
NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.480078,0.113387,0.134957,0.240005,0.031572,23,?
P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.009686,0.615049,0.084527,0.041365,0.249373,90,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.54781,0.064717,0.029739,0.25301,0.104723,523,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.573842,0.043426,0.037564,0.327454,0.017715,153,?
N,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.378401,0.069235,0.030016,0.35373,0.168618,32,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.086768,0.016748,0.065493,0.251127,0.579865,488,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.224749,0.187242,0.077974,0.244488,0.265547,97,?
N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.741271,0.019306,0.014117,0.176524,0.048781,33,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.166422,0.279012,0.287212,0.188122,0.079232,68,?
N+,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.591377,0.067389,0.063609,0.230357,0.047268,69,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.346104,0.022895,0.200583,0.412835,0.017584,62,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.532717,0.125592,0.029293,0.256937,0.055461,74,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.878926,0.030573,0.008375,0.07052,0.011606,82,?
P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.677537,0.018588,0.079026,0.208168,0.016682,22,?
P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.025328,0.225855,0.012972,0.055277,0.680568,74,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.599301,0.044549,0.05724,0.285949,0.012961,38,?
NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.167334,0.016887,0.250954,0.370745,0.19408,243,?
N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.55965,0.030715,0.060264,0.214697,0.134674,80,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.426922,0.110164,0.138152,0.318322,0.006439,194,?
NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.481822,0.05024,0.029761,0.397348,0.040829,120,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.279289,0.082401,0.090925,0.35322,0.194166,46,?
P+,AGREEMENT,SUBJECTIVE,96,NONIRONIC,0.027724,0.855704,0.021261,0.047286,0.048026,173,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.305362,0.238708,0.050446,0.348843,0.05664,542,?
N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.461314,0.041924,0.066431,0.393704,0.036627,105,?
NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.604603,0.083264,0.040598,0.231077,0.040457,178,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.411105,0.156008,0.071037,0.313071,0.04878,56,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.174572,0.043084,0.230795,0.531847,0.019702,94,?
N,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.727655,0.008559,0.012047,0.187783,0.063956,78,?
N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.419809,0.058715,0.03008,0.447137,0.044259,104,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.516755,0.060704,0.048544,0.32435,0.049647,69,?
N,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.678325,0.009449,0.015395,0.246925,0.049906,94,?
P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.223675,0.244965,0.110308,0.158525,0.262528,55,?
P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.155854,0.347167,0.052976,0.28051,0.163494,59,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.534483,0.027514,0.120275,0.28142,0.036308,116,?
P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.225314,0.203903,0.270831,0.271499,0.028452,310,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.200471,0.053117,0.072175,0.629525,0.044713,44,?
N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.023339,0.284906,0.039378,0.131086,0.521292,70,?
P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.216615,0.154813,0.041424,0.432331,0.154817,111,?
P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.161136,0.033771,0.05001,0.138663,0.61642,581,?
P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.621622,0.029564,0.077141,0.242835,0.028837,75,?
P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.530221,0.216683,0.043018,0.155184,0.054894,160,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.313436,0.281431,0.117065,0.259214,0.028855,71,?
N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.351146,0.053541,0.10332,0.383608,0.108385,109,?
N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.587528,0.031324,0.11716,0.246709,0.017278,96,?
NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.551624,0.098941,0.031743,0.293351,0.02434,107,?
N,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.134775,0.284537,0.115206,0.334828,0.130654,41,?
P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.013706,0.602865,0.013526,0.036123,0.33378,41,?
P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.066088,0.173977,0.02479,0.168279,0.566865,60,?
