@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
1092,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.758355,0.042554,0.011785,0.098684,0.088622,50,0,45,4,0.477527,0.564901,0.47701,0.476748,4
1093,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.604893,0.101741,0.042592,0.172547,0.078226,56,11,53,1,0.521728,0.526635,0.405789,0.508342,4
1094,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.108151,0.270981,0.157572,0.320424,0.142873,63,0,62,0,0.566733,0.402033,0.484096,0.542253,4
1095,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.341519,0.237134,0.063514,0.219,0.138834,85,11,83,1,0.556102,0.479214,0.482237,0.485969,4
1096,NEU,AGREEMENT,SUBJECTIVE,82,IRONIC,0.182072,0.313869,0.029638,0.425705,0.048717,149,22,145,3,0.64898,0.439924,0.565638,0.484009,4
1097,P+,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.454891,0.129454,0.092512,0.239719,0.083424,74,0,72,0,0.657993,0.571314,0.636361,0.432003,4
1098,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.325848,0.091935,0.1465,0.427252,0.008466,68,22,62,1,0.553707,0.604412,0.520903,0.480232,4
1099,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.44884,0.160529,0.060604,0.312803,0.017223,113,22,106,3,0.529744,0.527679,0.538816,0.515695,4
1100,N,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.653474,0.116995,0.051556,0.126191,0.051783,78,0,72,3,0.532579,0.573093,0.457727,0.55831,4
1101,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.466582,0.226255,0.057835,0.219511,0.029817,108,22,104,3,0.574864,0.489853,0.591271,0.453779,5
1102,NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.099654,0.594763,0.035319,0.170493,0.099771,234,66,227,8,0.496226,0.479905,0.50235,0.518573,5
1103,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.377715,0.107576,0.065655,0.425831,0.023224,159,11,151,4,0.522907,0.531154,0.438747,0.471135,5
1104,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.352203,0.291087,0.084061,0.247613,0.025037,119,0,118,1,0.521799,0.404185,0.639592,0.568012,5
1105,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.129938,0.591983,0.090135,0.112407,0.075537,77,0,75,3,0.478302,0.575969,0.477455,0.525028,5
1106,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.47437,0.135946,0.033129,0.327371,0.029183,44,0,42,2,0.542867,0.493636,0.501524,0.490167,5
1107,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.080271,0.366833,0.091657,0.288661,0.172578,166,11,160,14,0.539694,0.527681,0.481185,0.505145,5
1108,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.57963,0.109819,0.069394,0.221417,0.01974,32,0,29,2,0.340905,0.510382,0.369441,0.539214,5
1109,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.338224,0.307238,0.071481,0.209332,0.073725,244,0,198,6,0.47858,0.54376,0.442853,0.537362,5
1110,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.716383,0.03727,0.052708,0.155449,0.03819,30,0,29,0,0.368896,0.528179,0.345843,0.578856,5
1111,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.065875,0.289377,0.046235,0.226589,0.371924,149,0,145,3,0.450019,0.414832,0.493717,0.553393,5
1112,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.129795,0.463112,0.123843,0.205896,0.077355,51,0,50,0,0.478714,0.573444,0.403566,0.514685,5
1113,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.5459,0.093284,0.077228,0.13082,0.152769,68,0,67,3,0.607872,0.614544,0.48683,0.430464,5
1114,P+,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.297844,0.324966,0.040622,0.205573,0.130995,44,0,43,1,0.520685,0.492798,0.47024,0.525994,5
1115,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.277281,0.16283,0.150842,0.125777,0.283271,56,11,53,1,0.527767,0.527929,0.519947,0.496543,5
1116,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.157789,0.44831,0.082266,0.183066,0.128568,76,0,74,4,0.549171,0.561397,0.409876,0.522687,5
1117,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.542887,0.080583,0.071166,0.272955,0.032408,38,0,37,1,0.539056,0.504843,0.410125,0.526095,5
1118,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.186448,0.513806,0.053777,0.177035,0.068934,130,11,123,6,0.532065,0.539837,0.473459,0.441892,5
1119,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.494941,0.09423,0.092963,0.292188,0.025679,244,22,234,1,0.426117,0.538767,0.446395,0.567024,5
1120,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.259451,0.325948,0.017476,0.089632,0.307493,48,11,46,0,0.507776,0.591935,0.379462,0.513671,5
1121,NEU,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.153819,0.21637,0.072432,0.537124,0.020255,146,22,141,0,0.561384,0.547484,0.483314,0.470534,5
1122,P+,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.132689,0.610028,0.030334,0.15733,0.069618,66,11,64,1,0.504434,0.541106,0.493619,0.488313,5
1123,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.249906,0.316436,0.041681,0.36732,0.024658,70,0,67,0,0.551724,0.558325,0.49677,0.464276,5
1124,P+,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.278274,0.263253,0.102403,0.31452,0.04155,122,22,115,3,0.493222,0.52787,0.462892,0.518432,5
1125,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.130742,0.479067,0.063262,0.311235,0.015693,91,0,90,0,0.576885,0.576719,0.515094,0.467735,5
1126,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.34492,0.174663,0.04161,0.361696,0.077111,105,0,101,6,0.540929,0.497065,0.504497,0.5055,5
1127,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.297397,0.235375,0.084352,0.313614,0.069262,64,11,62,3,0.597818,0.532642,0.576727,0.489633,5
1128,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.277068,0.249893,0.077024,0.301423,0.094592,147,0,141,6,0.621226,0.643578,0.619085,0.351684,5
1129,P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.476305,0.142354,0.059238,0.160929,0.161174,25,0,24,0,0.618355,0.563896,0.512536,0.482092,5
1130,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.122277,0.38769,0.03432,0.186748,0.268964,138,0,135,2,0.56356,0.56982,0.478979,0.425957,5
1131,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.527336,0.088122,0.025478,0.098744,0.26032,63,11,60,2,0.499517,0.48154,0.457916,0.496176,5
1132,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.038202,0.745192,0.103848,0.057995,0.054764,27,0,25,0,0.478338,0.542253,0.439964,0.545983,5
1133,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.080783,0.66263,0.048776,0.151,0.056811,204,22,192,2,0.59149,0.429877,0.517004,0.457046,5
1134,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.428832,0.117749,0.025253,0.297962,0.130204,56,0,55,1,0.57921,0.536746,0.543546,0.523861,5
1135,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.189877,0.524236,0.023427,0.103036,0.159424,271,0,257,23,0.598837,0.548891,0.489333,0.526061,5
1136,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.512595,0.14862,0.05023,0.170647,0.117907,33,0,32,0,0.565455,0.491922,0.512285,0.517918,5
1137,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.09178,0.508745,0.052799,0.114267,0.232409,60,0,59,2,0.560805,0.590014,0.52711,0.452617,5
1138,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.376843,0.112767,0.059071,0.412657,0.038662,83,0,82,2,0.570066,0.606,0.501612,0.477944,5
1139,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.124974,0.312686,0.058174,0.421455,0.08271,22,0,21,0,0.584,0.509504,0.555164,0.494955,5
1140,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.056376,0.553975,0.047078,0.177821,0.164749,143,11,136,1,0.637838,0.494769,0.530573,0.476133,5
1141,P,AGREEMENT,SUBJECTIVE,86,IRONIC,0.128691,0.325647,0.051216,0.32245,0.171995,90,11,87,2,0.490135,0.569637,0.472973,0.524146,5
1142,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.149618,0.229123,0.264455,0.287676,0.069129,86,22,82,1,0.512609,0.529154,0.523784,0.498965,5
1143,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.375959,0.132535,0.049452,0.405212,0.036842,52,11,50,1,0.526785,0.512803,0.50559,0.511518,5
1144,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.082625,0.325131,0.024096,0.136242,0.431906,41,22,37,2,0.643014,0.53291,0.49895,0.473236,5
1145,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.448348,0.238805,0.057115,0.210706,0.045027,52,22,47,2,0.480202,0.527888,0.515737,0.516191,5
1146,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.059521,0.436278,0.025328,0.200812,0.27806,32,0,31,0,0.462298,0.591505,0.390795,0.473219,5
1147,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.160025,0.631094,0.050084,0.124221,0.034576,61,22,58,0,0.621545,0.533776,0.437921,0.464232,5
1148,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.668759,0.051524,0.0828,0.158631,0.038286,182,22,175,4,0.452263,0.561311,0.417502,0.50656,5
1149,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.474366,0.163849,0.058755,0.221714,0.081317,132,11,129,1,0.514109,0.552985,0.365024,0.499868,5
1150,P,AGREEMENT,SUBJECTIVE,88,IRONIC,0.200791,0.53818,0.01977,0.196778,0.044481,83,22,80,4,0.557919,0.532574,0.512774,0.493391,5
1151,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.300262,0.089363,0.326336,0.247351,0.036688,79,22,76,0,0.523886,0.473452,0.492661,0.506413,5
1152,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.559205,0.083107,0.034488,0.244541,0.078659,94,11,90,0,0.539379,0.481761,0.496757,0.491642,5
1153,P+,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.328516,0.178292,0.079567,0.271522,0.142103,216,11,213,3,0.629002,0.592338,0.402448,0.487168,5
1154,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.382129,0.262853,0.121602,0.15399,0.079426,31,0,30,0,0.634926,0.559029,0.511154,0.47143,5
1155,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.44563,0.248681,0.132614,0.163102,0.009972,92,11,89,3,0.460326,0.523559,0.455209,0.545638,5
1156,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.562551,0.089337,0.035105,0.217082,0.095924,91,11,89,2,0.420753,0.566172,0.370452,0.529117,5
1157,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.709786,0.119837,0.03314,0.109267,0.02797,58,0,56,3,0.546954,0.501429,0.535319,0.47962,5
1158,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.575367,0.141844,0.02775,0.215882,0.039157,193,0,184,11,0.477259,0.48347,0.411748,0.521334,5
1159,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.294645,0.15428,0.211306,0.315105,0.024664,58,0,57,0,0.485565,0.486641,0.448435,0.532549,5
1160,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.070907,0.614894,0.057069,0.147781,0.109348,204,11,196,3,0.522099,0.53193,0.523333,0.507564,5
1161,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.432754,0.181081,0.075552,0.206102,0.104511,114,0,110,3,0.45728,0.481202,0.393253,0.574366,5
1162,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.645718,0.115549,0.062288,0.151317,0.025128,45,11,43,1,0.560928,0.50289,0.484171,0.478709,5
1163,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.519383,0.101333,0.030984,0.327853,0.020448,51,0,50,1,0.46147,0.512814,0.413754,0.527771,5
1164,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.053227,0.523318,0.021873,0.088385,0.313197,85,0,84,2,0.574196,0.501556,0.614795,0.496009,5
1165,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.230055,0.223146,0.093896,0.264157,0.188746,78,11,76,5,0.531855,0.494708,0.550379,0.492847,5
1166,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.365309,0.106472,0.049789,0.173014,0.305416,88,0,87,0,0.551001,0.543224,0.486409,0.496864,5
1167,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.225289,0.427801,0.080249,0.243839,0.022822,41,0,40,1,0.608442,0.588344,0.534177,0.436726,5
1168,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.065541,0.767843,0.033531,0.063987,0.069098,45,0,44,2,0.615246,0.644733,0.545704,0.449045,5
1169,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.083934,0.658849,0.040185,0.128816,0.088216,101,0,100,1,0.56556,0.587644,0.451544,0.482891,5
1170,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.499377,0.185384,0.063514,0.227702,0.024023,76,0,71,2,0.544589,0.545426,0.492408,0.485396,5
1171,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.508561,0.141786,0.079967,0.217039,0.052647,107,0,102,6,0.550169,0.574464,0.43723,0.454772,5
1172,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.390019,0.292064,0.067772,0.198884,0.051262,39,0,38,1,0.577736,0.497226,0.630634,0.478369,5
1173,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.357726,0.192394,0.098651,0.284132,0.067097,110,0,106,3,0.564968,0.543964,0.574343,0.449351,5
1174,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.495568,0.159499,0.044268,0.249439,0.051226,48,0,46,0,0.661081,0.626462,0.523563,0.490019,5
1175,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.341165,0.098792,0.155308,0.372954,0.031781,94,11,92,1,0.514805,0.551762,0.486631,0.490026,5
1176,NEU,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.172199,0.242278,0.061629,0.455497,0.068397,51,11,48,0,0.512815,0.497326,0.548608,0.502738,5
1177,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.184876,0.517185,0.037941,0.148761,0.111236,43,11,39,1,0.600484,0.543297,0.568603,0.450974,5
1178,N,DISAGREEMENT,SUBJECTIVE,82,NONIRONIC,0.514497,0.087128,0.02623,0.307605,0.06454,73,0,72,1,0.561748,0.602214,0.476844,0.457454,5
1179,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.116374,0.266312,0.086543,0.148635,0.382136,125,0,122,0,0.610455,0.538008,0.604491,0.462215,5
1180,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.664496,0.110195,0.036115,0.155413,0.033782,216,22,203,8,0.557615,0.529057,0.473472,0.502918,5
1181,N+,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.401681,0.097845,0.055039,0.408276,0.037158,138,44,133,3,0.501839,0.551877,0.474177,0.47815,5
1182,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.043388,0.746408,0.042532,0.099828,0.067844,145,0,135,12,0.463534,0.530047,0.50644,0.50438,5
1183,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.440892,0.224099,0.099549,0.20361,0.031851,41,0,39,2,0.506823,0.545388,0.497094,0.556938,5
1184,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.089572,0.538755,0.060817,0.193891,0.116965,69,11,67,3,0.557709,0.587252,0.503478,0.478445,5
1185,P,DISAGREEMENT,SUBJECTIVE,81,IRONIC,0.359841,0.18016,0.065179,0.293068,0.101753,23,0,22,0,0.489612,0.533549,0.377247,0.512838,5
1186,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.010878,0.886964,0.024285,0.046795,0.031077,80,0,79,4,0.504902,0.556404,0.514086,0.479978,5
1187,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.253289,0.417358,0.038418,0.207927,0.083008,89,0,88,2,0.542028,0.471086,0.441038,0.51275,5
1188,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.218759,0.182452,0.035583,0.486398,0.076808,103,11,100,2,0.511982,0.562542,0.400348,0.481769,5
1189,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.250578,0.110831,0.077164,0.525253,0.036173,76,0,75,0,0.536868,0.507885,0.524957,0.515583,5
1190,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.253023,0.201102,0.072279,0.24854,0.225056,61,0,60,5,0.6012,0.516991,0.620763,0.502017,5
1191,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.374171,0.246525,0.07043,0.22236,0.086514,175,22,167,4,0.498786,0.612195,0.418114,0.546221,5
1192,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.61019,0.082452,0.062468,0.198936,0.045953,151,22,145,7,0.468611,0.521502,0.429592,0.547442,5
1193,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.494644,0.064681,0.059767,0.228263,0.152645,103,22,99,2,0.483143,0.569295,0.414376,0.489645,5
1194,P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.180039,0.423104,0.059268,0.254899,0.08269,110,0,109,0,0.488564,0.493764,0.472953,0.495749,5
1195,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.112007,0.385532,0.158885,0.310531,0.033044,111,22,107,1,0.542795,0.505594,0.489022,0.509189,5
1196,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.551945,0.09906,0.065652,0.186721,0.096622,87,0,84,3,0.525741,0.623842,0.442451,0.478357,5
1197,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.292812,0.162145,0.257859,0.247526,0.039658,71,33,67,0,0.594745,0.473003,0.601896,0.52269,5
1198,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.384996,0.154659,0.085382,0.267443,0.10752,153,33,145,0,0.463568,0.514968,0.482473,0.508746,5
1199,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.154034,0.273082,0.098273,0.406885,0.067726,79,0,76,2,0.498229,0.543148,0.547614,0.535086,5
1200,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.618591,0.077672,0.057721,0.222518,0.023498,42,0,40,1,0.553648,0.544809,0.515662,0.487503,5
1201,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.505316,0.174906,0.050034,0.231136,0.038609,34,0,33,0,0.624331,0.503373,0.488252,0.495338,5
1202,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.167146,0.426121,0.03438,0.257319,0.115034,150,11,148,1,0.528506,0.452567,0.507403,0.506427,5
1203,P+,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.56891,0.076023,0.122445,0.21104,0.021581,67,0,64,2,0.46867,0.589609,0.334819,0.499323,5
1204,P+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.174685,0.304489,0.062751,0.320827,0.137248,28,0,27,0,0.576895,0.551674,0.510015,0.455064,5
1205,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.011515,0.755796,0.045026,0.020653,0.16701,34,0,32,2,0.51822,0.610486,0.514975,0.500518,5
1206,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.221515,0.396662,0.093893,0.225451,0.062479,144,0,136,4,0.609843,0.514395,0.429819,0.479175,5
1207,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.458617,0.13379,0.044359,0.21804,0.145195,42,0,41,1,0.457919,0.490995,0.430078,0.637643,5
1208,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.393677,0.181007,0.039182,0.144792,0.241342,70,0,69,4,0.587127,0.567418,0.424592,0.512331,5
1209,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.115318,0.303977,0.206537,0.225921,0.148248,109,11,107,2,0.503818,0.562948,0.530061,0.500772,5
1210,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.575797,0.126206,0.052648,0.227598,0.01775,56,0,41,1,0.584599,0.474035,0.480835,0.494255,5
1211,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.138716,0.531133,0.055636,0.129371,0.145144,116,11,114,4,0.542511,0.560456,0.43908,0.501169,5
1212,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.583127,0.14361,0.07798,0.175907,0.019376,97,22,94,0,0.533208,0.564331,0.47046,0.49724,5
1213,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.292967,0.308189,0.110164,0.221035,0.067644,18,0,17,0,0.578115,0.593118,0.389054,0.457826,5
1214,P+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.013089,0.663466,0.012443,0.034457,0.276545,64,0,63,2,0.579929,0.539417,0.507826,0.493322,5
1215,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.078744,0.618445,0.069862,0.151269,0.081681,54,0,53,2,0.573551,0.578598,0.62594,0.442317,5
1216,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.484742,0.142707,0.034105,0.317585,0.020861,166,0,163,5,0.522503,0.482145,0.492183,0.525363,5
1217,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.154265,0.512132,0.058023,0.222857,0.052723,103,11,98,2,0.509137,0.644334,0.48487,0.438624,5
1218,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.161078,0.534742,0.045105,0.231463,0.027612,79,0,78,3,0.549673,0.645314,0.512395,0.417227,5
1219,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.231785,0.17524,0.162767,0.316784,0.113424,129,0,126,0,0.558993,0.52244,0.461908,0.456968,5
1220,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.381994,0.090973,0.217998,0.247356,0.06168,110,11,107,2,0.49915,0.538306,0.476546,0.50699,5
1221,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.309378,0.300395,0.165465,0.178977,0.045786,38,0,37,0,0.511733,0.522767,0.506835,0.481606,5
1222,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.05731,0.590888,0.042634,0.149256,0.159911,149,11,148,4,0.615262,0.514232,0.655114,0.454354,5
1223,P,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.43593,0.081296,0.023464,0.241509,0.217801,419,11,403,15,0.600617,0.504606,0.589872,0.454723,5
1224,N+,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.379321,0.265553,0.098675,0.235815,0.020636,83,11,79,2,0.548968,0.544038,0.476967,0.484128,5
1225,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.228916,0.15347,0.041811,0.311417,0.264387,61,11,59,1,0.567053,0.491378,0.469726,0.498956,5
1226,P,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.309715,0.178756,0.150081,0.312112,0.049337,195,33,191,1,0.497202,0.514139,0.529527,0.557648,5
1227,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.188467,0.103442,0.036382,0.445928,0.225782,50,0,49,0,0.48415,0.560241,0.362038,0.522966,5
1228,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.103261,0.488919,0.090768,0.146067,0.170985,155,0,150,3,0.54164,0.559182,0.55172,0.490068,5
1229,P+,AGREEMENT,SUBJECTIVE,82,IRONIC,0.303397,0.42368,0.064573,0.171399,0.03695,80,0,78,1,0.53343,0.556111,0.46863,0.500264,5
1230,P+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.416504,0.225485,0.030745,0.27382,0.053447,147,11,143,2,0.476296,0.514131,0.529224,0.484644,5
1231,P+,AGREEMENT,SUBJECTIVE,90,IRONIC,0.106519,0.551578,0.086047,0.224783,0.031074,58,0,57,1,0.577638,0.488848,0.562799,0.495763,5
1232,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.07373,0.217863,0.033665,0.493956,0.180785,37,0,34,1,0.579386,0.524656,0.510072,0.485064,5
1233,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.57885,0.132994,0.100581,0.169353,0.018222,129,0,128,6,0.495844,0.554102,0.422581,0.516078,5
1234,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.189486,0.259935,0.276203,0.238884,0.035492,58,0,57,0,0.409194,0.597691,0.384659,0.545423,5
1235,P,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.105257,0.263452,0.091632,0.149769,0.38989,39,0,38,1,0.588093,0.480074,0.554659,0.488886,5
1236,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.494984,0.151457,0.047868,0.212737,0.092955,144,0,138,2,0.496562,0.5206,0.426312,0.474716,5
1237,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.492851,0.252467,0.066506,0.145804,0.042371,72,0,71,2,0.525696,0.484138,0.427148,0.534796,5
1238,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.47021,0.231826,0.060929,0.11891,0.118125,37,0,36,1,0.395931,0.586408,0.37401,0.552017,5
1239,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.114588,0.628935,0.059846,0.098092,0.098539,42,0,41,2,0.552333,0.568191,0.541257,0.469214,5
1240,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.244502,0.317865,0.173408,0.235796,0.028429,64,0,60,2,0.609223,0.53243,0.53163,0.466961,5
1241,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.25878,0.320003,0.111332,0.216278,0.093607,142,0,139,1,0.609329,0.493047,0.462897,0.50167,5
1242,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.416638,0.195872,0.125967,0.183858,0.077665,359,33,353,1,0.58808,0.47745,0.500324,0.495466,5
1243,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.11013,0.715236,0.0215,0.134594,0.018539,243,11,241,3,0.557022,0.546524,0.495671,0.472243,5
1244,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.138099,0.357746,0.144291,0.311032,0.048833,259,22,251,8,0.569356,0.491714,0.459588,0.541551,5
1245,NEU,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.138162,0.162076,0.064232,0.589837,0.045694,103,22,100,0,0.52964,0.520902,0.513834,0.523908,5
