@relation Training

@attribute id numeric
@attribute score_tag {NONE,P,NEU,N,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute anger numeric
@attribute joy numeric
@attribute fear numeric
@attribute sadness numeric
@attribute surprise numeric
@attribute noAlphanumerics numeric
@attribute negation_words numeric
@attribute word_number numeric
@attribute misspelled numeric
@attribute extraversion numeric
@attribute openness numeric
@attribute agreeableness numeric
@attribute conscientiousness numeric
@attribute class {1,2,3,4,5}

@data
50,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.720231,0.032248,0.041243,0.198203,0.008075,8,0,7,0,0.523301,0.598478,0.507843,0.44524,1
51,N+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.135086,0.196225,0.070086,0.163609,0.434994,142,44,136,4,0.48773,0.353983,0.526086,0.477055,1
52,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.654635,0.041099,0.033243,0.256525,0.014498,65,11,62,2,0.486171,0.50103,0.394891,0.51647,1
53,NEU,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.592656,0.028497,0.028642,0.335007,0.015198,98,0,97,3,0.538183,0.454456,0.5369,0.496556,1
54,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.623541,0.049564,0.069603,0.20047,0.056821,81,0,79,1,0.463352,0.437455,0.434401,0.525891,1
55,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.57883,0.077492,0.088985,0.205148,0.049545,256,11,247,9,0.62127,0.61942,0.358429,0.428344,1
56,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.499275,0.059835,0.176305,0.250751,0.013834,46,0,45,0,0.425094,0.518737,0.404037,0.528108,1
57,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.849471,0.009638,0.011506,0.066461,0.062924,35,0,34,3,0.495516,0.527224,0.495868,0.52322,1
58,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.585791,0.066413,0.106113,0.233503,0.00818,225,11,182,3,0.571717,0.486358,0.496581,0.493818,1
59,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.600771,0.009855,0.202223,0.185154,0.001997,99,11,97,2,0.486635,0.455305,0.418503,0.529859,1
60,N,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.707152,0.017502,0.022351,0.241822,0.011174,99,11,96,1,0.47495,0.536196,0.381858,0.514207,1
61,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.608358,0.118767,0.040233,0.223346,0.009296,183,0,177,2,0.464991,0.458023,0.390479,0.537497,1
62,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.606136,0.022839,0.150272,0.209003,0.011751,69,0,62,1,0.523374,0.454367,0.500342,0.504312,1
63,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.68192,0.028666,0.197842,0.075372,0.0162,38,0,37,2,0.432206,0.566604,0.377014,0.50961,1
64,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.340087,0.020853,0.220316,0.414254,0.004491,35,0,34,1,0.552573,0.476201,0.452761,0.548544,1
65,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.786107,0.006523,0.020192,0.185283,0.001894,188,22,186,2,0.465982,0.472597,0.424324,0.490861,1
66,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.140364,0.100079,0.503562,0.219969,0.036026,209,0,205,8,0.443849,0.567528,0.367907,0.489579,1
67,N,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.551578,0.041666,0.028299,0.333122,0.045335,76,0,75,0,0.473641,0.477637,0.416699,0.510968,1
68,N+,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.301222,0.112847,0.187076,0.381463,0.017392,159,11,155,3,0.544986,0.572558,0.436833,0.49101,1
69,NEU,DISAGREEMENT,SUBJECTIVE,81,NONIRONIC,0.684269,0.03313,0.097916,0.176253,0.008432,53,0,51,2,0.439659,0.557753,0.329286,0.562263,1
70,N,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.514135,0.066081,0.044461,0.203996,0.171328,157,0,153,6,0.494044,0.450225,0.502827,0.54351,1
71,N,AGREEMENT,SUBJECTIVE,89,NONIRONIC,0.608584,0.031386,0.068517,0.242883,0.04863,66,0,64,1,0.472383,0.446532,0.3865,0.571662,1
72,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.597193,0.046031,0.071339,0.270457,0.014981,158,11,155,2,0.499656,0.498901,0.432129,0.511317,1
73,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.474242,0.115385,0.087993,0.253465,0.068915,110,11,107,3,0.428831,0.567881,0.363145,0.502129,1
74,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.554635,0.102836,0.047114,0.212005,0.083409,194,22,185,8,0.428268,0.532704,0.453408,0.528855,1
75,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.468367,0.023862,0.024588,0.475606,0.007577,188,33,182,5,0.486365,0.449234,0.369509,0.532569,1
76,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.555211,0.095651,0.084577,0.227089,0.037473,194,0,145,0,0.527348,0.519445,0.411467,0.50962,1
77,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.613359,0.011349,0.120585,0.190664,0.064043,63,0,61,0,0.521786,0.564869,0.44783,0.452071,1
78,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.559161,0.016465,0.039004,0.336011,0.049359,105,0,104,4,0.452766,0.490187,0.435744,0.482904,1
79,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.603794,0.082946,0.089257,0.192891,0.031111,174,11,169,17,0.56663,0.463018,0.422899,0.508679,1
80,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.232581,0.265598,0.108631,0.192953,0.200238,50,0,49,5,0.487679,0.459118,0.466802,0.548093,1
